
==================== New Training Session: Wed Feb 11 08:31:18 2026 ====================
Epoch: 29 | loss_cls: 2.50487 | loss_clst: 0.13384 | loss_orth: 0.00293 | loss_sep: -0.05725 | loss_struc: 0.00628 | test_acc: 80.71795 | test_loss: 0.84929 | test_mf1: 75.26220 | train_acc: 98.36365 | train_loss: 2.59066 | val_acc: 87.24716 | val_loss: 0.56621 | val_mf1: 79.92996
Epoch: 30 | loss_cls: 2.79813 | loss_clst: 0.13499 | loss_orth: 0.00286 | loss_sep: -0.05716 | loss_struc: 0.00607 | test_acc: 85.53846 | test_loss: 0.70046 | test_mf1: 78.58134 | train_acc: 98.14583 | train_loss: 2.88489 | val_acc: 88.01772 | val_loss: 0.56859 | val_mf1: 79.60148
Epoch: 31 | loss_cls: 2.37581 | loss_clst: 0.13183 | loss_orth: 0.00281 | loss_sep: -0.05652 | loss_struc: 0.00613 | test_acc: 83.33333 | test_loss: 0.83754 | test_mf1: 75.62482 | train_acc: 98.46711 | train_loss: 2.46007 | val_acc: 88.40301 | val_loss: 0.54144 | val_mf1: 81.07627
Epoch: 32 | loss_cls: 2.48259 | loss_clst: 0.12646 | loss_orth: 0.00271 | loss_sep: -0.05505 | loss_struc: 0.00617 | test_acc: 83.38462 | test_loss: 0.95761 | test_mf1: 74.16307 | train_acc: 98.32008 | train_loss: 2.56289 | val_acc: 87.20863 | val_loss: 0.70973 | val_mf1: 77.36191
Epoch: 33 | loss_cls: 2.15982 | loss_clst: 0.12666 | loss_orth: 0.00262 | loss_sep: -0.05328 | loss_struc: 0.00596 | test_acc: 83.89744 | test_loss: 1.01968 | test_mf1: 76.22884 | train_acc: 98.57602 | train_loss: 2.24179 | val_acc: 87.90214 | val_loss: 0.63375 | val_mf1: 80.21471
Epoch: 34 | loss_cls: 2.12183 | loss_clst: 0.12126 | loss_orth: 0.00252 | loss_sep: -0.05116 | loss_struc: 0.00587 | test_acc: 84.35897 | test_loss: 0.97644 | test_mf1: 76.42005 | train_acc: 98.63320 | train_loss: 2.20032 | val_acc: 88.69197 | val_loss: 0.56102 | val_mf1: 80.99418
Epoch: 35 | loss_cls: 1.81481 | loss_clst: 0.12675 | loss_orth: 0.00243 | loss_sep: -0.05113 | loss_struc: 0.00592 | test_acc: 84.05128 | test_loss: 0.76927 | test_mf1: 76.77620 | train_acc: 98.81562 | train_loss: 1.89878 | val_acc: 88.01772 | val_loss: 0.57690 | val_mf1: 80.40692
Epoch: 36 | loss_cls: 1.86902 | loss_clst: 0.12149 | loss_orth: 0.00234 | loss_sep: -0.05150 | loss_struc: 0.00605 | test_acc: 84.66667 | test_loss: 0.81477 | test_mf1: 76.91467 | train_acc: 98.72305 | train_loss: 1.94740 | val_acc: 87.55538 | val_loss: 0.68839 | val_mf1: 78.87317
Epoch: 37 | loss_cls: 2.05018 | loss_clst: 0.13280 | loss_orth: 0.00223 | loss_sep: -0.05884 | loss_struc: 0.00591 | test_acc: 85.07692 | test_loss: 0.86799 | test_mf1: 78.35451 | train_acc: 98.66587 | train_loss: 2.13228 | val_acc: 88.82682 | val_loss: 0.56428 | val_mf1: 81.67378
Epoch: 38 | loss_cls: 1.42149 | loss_clst: 0.12255 | loss_orth: 0.00210 | loss_sep: -0.05364 | loss_struc: 0.00555 | test_acc: 82.35897 | test_loss: 0.87369 | test_mf1: 75.73780 | train_acc: 99.01438 | train_loss: 1.49804 | val_acc: 87.28569 | val_loss: 0.59972 | val_mf1: 80.49366
Epoch: 39 | loss_cls: 1.67148 | loss_clst: 0.12175 | loss_orth: 0.00198 | loss_sep: -0.05242 | loss_struc: 0.00569 | test_acc: 82.51282 | test_loss: 0.95341 | test_mf1: 75.35753 | train_acc: 98.94086 | train_loss: 1.74848 | val_acc: 87.59391 | val_loss: 0.64274 | val_mf1: 80.47067
Epoch: 40 | loss_cls: 1.79415 | loss_clst: 0.11896 | loss_orth: 0.00187 | loss_sep: -0.05208 | loss_struc: 0.00584 | test_acc: 83.58974 | test_loss: 0.87105 | test_mf1: 75.11957 | train_acc: 98.79656 | train_loss: 1.86875 | val_acc: 87.49759 | val_loss: 0.70459 | val_mf1: 77.99671
Epoch: 41 | loss_cls: 1.71604 | loss_clst: 0.12009 | loss_orth: 0.00178 | loss_sep: -0.05203 | loss_struc: 0.00582 | test_acc: 84.30769 | test_loss: 0.80881 | test_mf1: 78.45152 | train_acc: 98.93542 | train_loss: 1.79169 | val_acc: 88.51859 | val_loss: 0.58456 | val_mf1: 81.88054
Epoch: 42 | loss_cls: 1.23536 | loss_clst: 0.11554 | loss_orth: 0.00170 | loss_sep: -0.05103 | loss_struc: 0.00567 | test_acc: 84.46154 | test_loss: 0.85538 | test_mf1: 78.10018 | train_acc: 99.18046 | train_loss: 1.30724 | val_acc: 88.51859 | val_loss: 0.65949 | val_mf1: 81.16179
